SEMvars,CUVA,YOSE,GATE
ID,ID,SurveyID,ID
numAdults,Q01a_NumAdults,Q1a_NumAdult,Q01a_NumAdults
numChild,Q01b_NumChild,Q1b_NumChild,Q01b_NumChild
grpSize,Q01c_GrpSize,GroupSize,Q01_GroupSize
grpType,Q02a_GrpType,Q2_GroupType,Q02a_GrpType
hoursPark,Q04a_HoursinPark,Q8_Hours,
daysPark,Q04b_DaysinPark,Q8_Days,
local,Q28_LiveNearby,Q21_LiveShade,Q17_LiveNearby
overnight,Q29a_Overnight,Q22a_StayAway,Q18a_Overnight
nightsBackcountry,,Q22b_Backcountry,
nightsCampIn,Q29b_CampingInPark,Q22b_YOSECamp,Q18b_CampingInPark
nightsCampOut,Q29b_CampingOutPark,Q22b_OtherCamp,Q18b_CampingOutPark
nightsLodgeIn,Q29b_LodgingInPark,Q22b_YOSELodge,
nightsLodgeOut,Q29b_LodgingOutPark,Q22b_OtherLodge,Q18b_LodgingOutPark
nightsCruise,,,Q18b_CruiseShip
nightsOther,Q29b_OtherAccom,Q22b_OtherAcom,Q18b_Other
tripPurpose,Q30a_TripPurpose,Q24a_YOSETrip,Q19a_TripPurpose
equallyNearby,Q30b_Nearby,Q24b_DestImport,Q19b_Nearby
primaryNearby,Q30c_PrimaryLoc,Q24c_PrimaryDest,Q19c_PrimaryLoc
otherNPS,Q31_OtherNPS,Q26_OtherNPS,Q20_OtherNPS
otherNPSunits,Q31b_OtherNPSCoded,Q26_OtherNPSSpecify,Q20b_OtherNPS
hoursLocalArea,,Q25_ShadeHour,
daysLocalArea,,Q25_ShadeDay,
entries,Q32a_ReEnter,Q7_DaysReenter,
DKentries,Q32b_DKReEnter,Q7_DaysReenterDK,
package,,,Q21a_Package
daysPackage,,,Q21b_PkgLen
costPackage,,,Q21c_PkgCost
numPeoplePackage,,,Q21d_PkgNumGrp
airTransPackage,,,Q21ea_Air
groundTransPackage,,,Q21eb_Ground
waterTransPackage,,,Q21ec_Water
lodgePackage,,,Q21ed_Lodging
mealsPackage,,,Q21ee_Meals
guidePackage,,,Q21ef_Guides
feesPackage,,,Q21eg_Fees
gearPackage,,,Q21eh_Gear
admissionPackage,,,Q21ei_Admission
otherPackage,,,Q21ej_Other
otherPackageSpec,,,Q21ej_OtherSpecify
expParkEntrance,,Q27a_ParkFee,Q22a_EntranceFee
expGas,Q33a_GasCleaned,Q27b_Gas,Q22b_Gas
expRentalCar,Q33b_RentalCar,Q27c_Rental,Q22c_RentalCar
expPubTrans,Q33c_PubTrans,Q27d_Taxis,Q22d_PubTrans
expRestaurants,,Q27e_Rest,Q22e_Dining
expSnacks,Q33d_Snacks,,
expGroceries,Q33e_Groceries,Q27f_Grocery,Q22f_Groceries
expHotels,Q33f_Hotels,Q27g_Hotel,Q22g_Hotels
expSpecLodge,,Q27h_SpecialLodge,Q22h_Lodging
expcamp,Q33g_Camping,Q27i_Camp,Q22i_Camping
expRec,Q33h_Recreation,Q27j_RecEnt,Q22j_Recreation
expSouvenirs,Q33i_Souvenirs,Q27k_Souvenir,Q22k_Souvenirs
expEqpRental,Q33j_EquipRental,Q27l_Equip,Q22l_EquipRental
expGuides,Q33l_Tours,Q27m_Guides,Q22m_Tours
expRail,Q33k_Railroad,,
expOther,Q33m_OtherExpen,Q27n_Other,Q22n_Other
expOtherSpec,Q33ma_OtherExpenSpecifyCoded,Q27o_OtherSpecify,Q22na_OtherSpecify_Cleaned
expLocalTotal,Q33_TotExpen,TotalExpenditures,
DKexpLocal,Q33n_DontKnow,Q27_DontKnow,Q22o_DontKnow
expAdditional,,Q28_ExpOutShade,Q23a_OutAreaExp
DKexpAdditional,,Q28_DonTKnow,Q23b_OutAreaExpDK
adultsCovered,Q34a_AdultsCovered,Q29a_ExpCoverA,Q24a_AdultsCovered
childrenCovered,Q34b_ChildrenCovered,Q29a_ExpCoverC,Q24b_ChildrenCovered
numCovered,,Q29a_ExpCoverTotal,Q24_TotalPeople
numSplit,Q34c_SplitExpenses,Q29b_ExpSplit,Q24c_SplitExpenses
zip,Q36a_Zip,Q30_Zip_Y,Q25a_Zip
weight,NewWeight,,
